央视频道,#genre#
中央2套,http://123.54.179.139/PLTV/88888888/224/3221227049/1.m3u8
中央3套,http://123.54.179.137/PLTV/88888888/224/3221227053/1.m3u8
中央4套,http://123.54.179.137/PLTV/88888888/224/3221227050/1.m3u8
中央5套,http://123.54.179.74/PLTV/88888888/224/3221227047/1.m3u8
中央5+体育赛,http://123.54.179.134/PLTV/88888888/224/3221227069/1.m3u8
中央6套,http://123.54.179.74/PLTV/88888888/224/3221227046/1.m3u8
中央7套,http://123.54.179.138/PLTV/88888888/224/3221227084/1.m3u8
中央8套,http://123.54.179.139/PLTV/88888888/224/3221227081/1.m3u8
中央9套,http://123.54.179.140/PLTV/88888888/224/3221227078/1.m3u8
中央10套,http://123.54.179.137/PLTV/88888888/224/3221227043/1.m3u8
中央11套,http://123.54.179.139/PLTV/88888888/224/3221227040/1.m3u8
中央12套,http://123.54.179.136/PLTV/88888888/224/3221227044/1.m3u8
中央13套,http://123.54.179.139/PLTV/88888888/224/3221227041/1.m3u8
中央14套,http://123.54.179.137/PLTV/88888888/224/3221227038/1.m3u8
中央15套,http://123.54.179.136/PLTV/88888888/224/3221227037/1.m3u8
CGTV,http://123.54.179.135/PLTV/88888888/224/3221227075/1.m3u8
CETV1,http://123.54.179.134/PLTV/88888888/224/3221227034/1.m3u8
中央17套,http://123.54.179.74/PLTV/88888888/224/3221227072/1.m3u8
优曼卡通,http://123.54.179.133/PLTV/88888888/224/3221227031/1.m3u8
哈哈炫动,http://123.54.179.137/PLTV/88888888/224/3221227002/1.m3u8
金鹰卡通,http://123.54.179.137/PLTV/88888888/224/3221227012/1.m3u8
卡酷少儿,http://123.54.179.135/PLTV/88888888/224/3221226992/1.m3u8
嘉佳卡通,http://123.54.179.136/PLTV/88888888/224/3221226995/1.m3u8
河南卫视4K,http://123.54.179.135/PLTV/88888888/224/3221226984/1.m3u8
河南卫视,http://123.54.179.135/PLTV/88888888/224/3221226984/1.m3u8
河南梨园频道,http://123.54.179.140/PLTV/88888888/224/3221226996/1.m3u8
河南都市频道,http://123.54.179.138/PLTV/88888888/224/3221226974/1.m3u8
河南民生频道,http://123.54.179.138/PLTV/88888888/224/3221226994/1.m3u8
河南法制频道,http://123.54.179.140/PLTV/88888888/224/3221226991/1.m3u8
河南电视剧频道,http://123.54.179.139/PLTV/88888888/224/3221226971/1.m3u8
河南新闻频道,http://123.54.179.137/PLTV/88888888/224/3221226997/1.m3u8
河南国际频道,http://123.54.179.138/PLTV/88888888/224/3221227000/1.m3u8
河南乡村频道,http://123.54.179.136/PLTV/88888888/224/3221226986/1.m3u8
棋牌汇,http://123.54.179.133/PLTV/88888888/224/3221227015/1.m3u8
美食汇,http://123.54.179.139/PLTV/88888888/224/3221227018/1.m3u8
武术世界,http://123.54.179.135/PLTV/88888888/224/3221227003/1.m3u8
河南公共频道,http://123.54.179.137/PLTV/88888888/224/3221226989/1.m3u8
广东卫视,http://123.54.179.137/PLTV/88888888/224/3221227033/1.m3u8
河北卫视,http://123.54.179.133/PLTV/88888888/224/3221227027/1.m3u8
山东卫视,http://123.54.179.140/PLTV/88888888/224/3221227004/1.m3u8
东方卫视,http://123.54.179.137/PLTV/88888888/224/3221227020/1.m3u8
东南卫视,http://123.54.179.139/PLTV/88888888/224/3221227023/1.m3u8
安徽卫视,http://123.54.179.137/PLTV/88888888/224/3221227017/1.m3u8
辽宁卫视,http://123.54.179.137/PLTV/88888888/224/3221227014/1.m3u8
陕西卫视,http://123.54.179.138/PLTV/88888888/224/3221227011/1.m3u8
贵州卫视,http://123.54.179.135/PLTV/88888888/224/3221227001/1.m3u8
